component,scenario,scenario_group,year,value,unit,source
Hydrogen,IndustryLarge,Selected energy/feedstock,2039,4.860233799,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2040,4.809563716,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2041,4.735058092,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2042,4.660552468,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2043,4.586046844,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2044,4.51154122,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2045,4.437035596,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2046,4.411517286,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2047,4.385998976,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2048,4.360480666,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2049,4.334962356,€/kg,Projektionsbericht2026
Hydrogen,IndustryLarge,Selected energy/feedstock,2050,4.309444046,€/kg,Projektionsbericht2026
Naphta,Naphtha a),Selected energy/feedstock,2025,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2026,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2027,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2028,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2029,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2030,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2031,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2032,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2033,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
